Club,Name,Position,Age,Appearances,attack_score_norm,defense_score_norm
Arsenal,Bernd Leno,Goalkeeper,28.0,64,0.0,0.2464
Arsenal,Héctor Bellerín,Defender,25.0,160,0.1291,1.9174
Arsenal,Kieran Tierney,Defender,23.0,16,0.121,1.4359
Arsenal,Sokratis,Defender,32.0,44,0.108,1.6107
Arsenal,Rob Holding,Defender,25.0,41,0.0,1.7635
Arsenal,Shkodran Mustafi,Defender,28.0,99,0.1174,2.7711
Arsenal,Calum Chambers,Defender,25.0,139,0.0697,2.557
Arsenal,David Luiz,Defender,33.0,194,0.0966,1.9709
Arsenal,Sead Kolasinac,Defender,27.0,78,0.1241,1.6893
Arsenal,Gabriel Magalhães,Defender,22.0,2,0.6455,1.3514
Arsenal,Mesut Özil,Midfielder,31.0,184,1.4819,0.3455
Arsenal,Lucas Torreira,Midfielder,24.0,63,0.3381,0.6471
Arsenal,Ainsley Maitland-Niles,Midfielder,23.0,54,0.2192,0.6924
Arsenal,Mohamed Elneny,Midfielder,28.0,47,0.1511,0.5751
Arsenal,Joseph Willock,Midfielder,21.0,33,0.2152,0.273
Arsenal,Matteo Guendouzi,Midfielder,21.0,57,0.0415,0.573
Arsenal,Emile Smith Rowe,Midfielder,20.0,2,0.0,0.2252
Arsenal,Granit Xhaka,Midfielder,27.0,132,0.52,0.7286
Arsenal,Bukayo Saka,Midfielder,19.0,28,0.5917,0.4263
Arsenal,Dani Ceballos,Midfielder,24.0,26,0.2731,0.797
Arsenal,Alexandre Lacazette,Forward,29.0,99,4.0861,0.0
Arsenal,Pierre-Emerick Aubameyang,Forward,31.0,87,5.8409,0.0
Arsenal,Nicolas Pépé,Forward,25.0,33,2.0865,0.0
Arsenal,Reiss Nelson,Forward,20.0,20,0.4303,0.0
Arsenal,Eddie Nketiah,Forward,21.0,23,1.4969,0.0
Arsenal,Gabriel Martinelli,Forward,19.0,14,1.8444,0.0
Arsenal,Willian,Forward,32.0,236,1.8286,0.0
Aston-Villa,Tom Heaton,Goalkeeper,34.0,116,0.0,0.1892
