,AvgPTS,StdPTS,AvgW,AvgD,AvgL,AvgGF,AvgGA,AvgGD,AvgPeakWinStreak,MaxPeakWinStreak,AvgPeakLossStreak,MaxPeakLossStreak,AvgPeakWinlessStreak,MaxPeakWinlessStreak,PTS_p10,PTS_median,PTS_p90,ChampionPct,Top4Pct,TopHalfPct,RelegationPct
Manchester-City,72.09,7.82,21.38,7.95,8.67,75.71,44.22,31.49,5.75,16,2.38,7,4.2,12,62.0,72.0,82.0,48.5,90.1,99.2,0.0
Liverpool,67.47,8.08,19.58,8.74,9.68,66.81,43.69,23.12,5.19,16,2.48,7,4.74,16,57.0,67.0,78.0,23.5,76.5,97.0,0.2
Tottenham-Hotspur,65.28,7.97,18.81,8.86,10.33,63.0,43.68,19.33,4.94,14,2.61,7,4.86,14,55.0,65.0,75.0,16.8,65.8,95.9,0.0
Manchester-United,56.99,8.22,15.68,9.96,12.37,51.15,44.02,7.13,3.91,13,3.05,10,5.95,17,47.0,57.0,67.0,2.3,27.4,73.9,2.4
Arsenal,56.55,7.86,15.78,9.22,13.01,56.31,49.93,6.38,3.97,10,3.19,9,5.81,16,46.0,57.0,67.0,2.3,24.6,73.0,1.8
Leicester-City,56.46,7.7,15.7,9.38,12.92,53.59,47.48,6.11,4.0,12,3.27,9,5.98,16,46.0,56.0,66.0,1.1,24.3,72.1,1.8
Fulham,56.23,7.77,15.24,10.51,12.25,45.75,39.76,5.99,3.84,13,3.04,8,6.17,20,46.0,57.0,66.0,1.3,23.3,72.7,1.7
Chelsea,54.38,7.98,14.79,10.01,13.2,49.78,46.61,3.17,3.65,12,3.25,11,6.42,16,44.0,54.0,65.0,1.1,14.9,62.3,3.6
Everton,53.13,8.09,14.61,9.31,14.08,54.76,54.0,0.76,3.57,9,3.46,10,6.45,18,42.0,53.0,63.0,1.1,11.7,56.6,5.6
Newcastle-United,50.79,7.94,13.7,9.68,14.62,48.5,50.91,-2.41,3.48,10,3.6,10,6.83,20,41.0,51.0,61.0,0.3,7.3,43.8,8.2
Wolverhampton-Wanderers,50.64,7.71,13.58,9.89,14.53,46.97,49.14,-2.18,3.45,10,3.58,15,7.09,24,41.0,50.0,61.0,0.3,6.7,43.2,7.8
West-Ham-United,50.16,8.01,13.31,10.22,14.47,45.04,47.58,-2.54,3.51,9,3.59,11,7.36,27,40.0,50.0,60.0,0.6,6.4,40.2,9.3
Southampton,50.03,8.1,13.38,9.9,14.72,47.06,50.42,-3.36,3.38,11,3.68,11,7.14,20,40.0,50.0,60.1,0.1,7.0,40.0,10.1
Burnley,49.91,7.62,13.31,9.98,14.71,46.3,49.56,-3.25,3.38,10,3.6,10,7.29,24,40.0,50.0,60.0,0.4,4.6,38.7,8.3
Crystal-Palace,48.35,7.72,12.9,9.65,15.45,46.32,52.28,-5.97,3.32,11,3.8,11,7.42,24,38.0,48.0,58.0,0.2,3.6,32.4,13.8
Leeds-United,48.18,7.77,12.84,9.68,15.49,46.14,52.06,-5.92,3.26,10,3.78,9,7.32,23,38.0,48.0,58.0,0.0,3.7,31.0,13.6
Brighton-and-Hove-Albion,44.68,7.8,11.64,9.76,16.6,43.54,54.33,-10.78,3.01,11,4.08,13,8.33,23,35.0,45.0,54.0,0.0,1.5,17.0,26.4
Aston-Villa,41.5,7.4,10.41,10.28,17.32,36.9,51.74,-14.83,2.63,7,4.29,14,9.15,24,32.0,41.0,51.0,0.1,0.5,7.8,41.8
West-Bromwich-Albion,36.35,7.33,9.33,8.35,20.32,44.56,71.36,-26.8,2.5,7,5.28,14,10.02,30,27.0,36.0,46.0,0.0,0.1,1.7,69.1
Sheffield-United,35.62,7.2,8.83,9.12,20.04,37.25,62.68,-25.43,2.38,6,5.32,17,10.54,33,26.0,35.0,45.0,0.0,0.0,1.5,74.5
