Club,AvgAttack,AvgDefense,RedRate,YellowRate,FoulRate
Manchester-City,2.8488,1.0024,0.067019,0.1094,0.7211
Liverpool,2.2241,0.9819,0.06475,0.0895,0.6951
Tottenham-Hotspur,1.9673,0.995,0.061395,0.1033,0.6952
Arsenal,1.7143,1.2812,0.10668,0.1529,0.8157
Everton,1.6775,1.507,0.048867,0.1021,0.7034
Leicester-City,1.562,1.1366,0.113811,0.0958,0.7266
Chelsea,1.3436,1.0779,0.057732,0.0972,0.7812
Newcastle-United,1.3348,1.2965,0.107652,0.1362,0.8261
Manchester-United,1.3122,0.9827,0.063762,0.1152,0.7443
Southampton,1.2748,1.3488,0.064864,0.1136,0.8374
Fulham,1.2706,0.7681,0.122547,0.1172,0.896
Leeds-United,1.1417,1.4,0.0282,0.0741,0.6728
Wolverhampton-Wanderers,1.1355,1.2708,0.069191,0.1003,0.6638
Crystal-Palace,1.1329,1.357,0.059175,0.1239,0.8887
Burnley,1.0899,1.1867,0.03334,0.151,0.9099
West-Ham-United,1.0599,1.1889,0.083973,0.1371,0.7226
West-Bromwich-Albion,1.0575,2.1333,0.102774,0.1313,0.8632
Brighton-and-Hove-Albion,1.0066,1.4821,0.066647,0.0995,0.773
Sheffield-United,0.5538,1.7317,0.083908,0.0958,0.6497
Aston-Villa,0.4924,1.2006,0.031913,0.1083,0.7244
